NGC5492,212.6466,19.61235,False,0,False,2271,35.3,-22.57,0.17,3,1.08
NGC5496,212.9077,-1.15872,False,0,False,1541,24.8,-21.68,0.25,6.5,1.58
NGC5523,213.718,25.31761,False,0,False,1039,18.9,-21.65,0.08,5.8,1.5
NGC5526,213.4739,57.77132,False,0,False,2004,33,-22.28,0.05,4.1,1.2
NGC5560,215.0187,3.992653,False,0,False,1729,27.6,-22.74,0.13,3,1.27
NGC5584,215.5992,-0.387449,False,0,False,1638,26,-22.14,0.17,6,1.65
NGC5602,215.5785,50.50142,False,0,False,2230,35.9,-23.19,0.09,1,1.21
NGC5630,216.9024,41.25782,False,0,False,2655,41.3,-22.24,0.05,8,1.29
NGC5645,217.6642,7.275004,False,0,False,1370,23.1,-22.14,0.12,6.6,1.58
NGC5661,217.9892,6.250472,False,0,False,2354,35.6,-21.56,0.14,3.2,1.12
NGC5667,217.5954,59.46968,False,0,False,1943,32.2,-22.08,0.04,5.9,1.49
NGC5678,218.0233,57.92144,False,2,False,1922,30,-24.11,0.05,3.3,1.54
NGC5730,219.9675,42.74234,False,0,False,2533,39.8,-22,0.07,9.6,1.23
NGC5740,221.1018,1.679692,False,1,False,1572,30.5,-23.56,0.16,3,1.46
NGC5777,222.8242,58.97781,False,0,False,2145,34.9,-23.41,0.05,3.2,1.13
NGC5795,224.0828,49.40021,False,0,False,2366,37.7,-22.99,0.08,4.9,1.23
NGC5850,226.782,1.54428,False,0,False,2556,37.9,-24.81,0.24,3.1,1.83
NGC5894,227.9206,59.80882,False,0,False,2466,39.3,-23.92,0.05,8,1.42
NGC5921,230.4857,5.07054,False,0,False,1480,23.9,-23.81,0.17,4,1.75
NGC5951,233.4295,15.00729,False,0,False,1780,28.5,-22.24,0.21,5.2,1.51
NGC5958,233.7047,28.65512,False,0,False,2007,32.2,-22.14,0.11,4.6,1.29
NGC5961,233.8186,30.86409,False,0,False,1828,29.9,-21.67,0.12,2.5,1.05
NGC5981,234.4694,59.39396,False,0,False,1764,29.8,-23.03,0.11,4.3,1.22
NGC5985,234.9045,59.33195,False,0,False,2517,40,-24.86,0.07,3,1.77
NGC6012,238.5581,14.60124,False,0,False,1854,29.3,-22.81,0.16,1.7,1.48
NGC6015,237.8551,62.31003,False,0,False,835,17.1,-22.7,0.05,6,1.7
NGC6063,241.804,7.979009,False,3,False,2848,41.1,-22.54,0.2,5.9,1.39
NGC6070,242.4945,0.709315,False,1,False,2004,26.8,-23.45,0.63,6,1.58
NGC6106,244.6967,7.411013,False,0,False,1448,23.3,-22.25,0.29,5.3,1.41
NGC6118,245.4526,-2.283422,False,0,False,1573,24.3,-23.28,0.68,6,1.73
NGC6155,246.5346,48.36692,False,0,False,2418,38.4,-22.96,0.06,5.4,1.35
NGC6181,248.0874,19.8266,False,1,False,2375,35,-24.07,0.27,5.2,1.31
NGC6207,250.7656,36.83242,False,3,False,852,21.4,-22.53,0.07,4.9,1.4
NGC6339,259.2771,40.84496,False,0,False,2108,33.9,-21.69,0.13,6.4,1.38
NGC6384,263.1013,7.06027,False,2,False,1665,18.5,-23.85,0.53,3.6,1.96
NGC6675,279.3603,40.05771,False,0,False,2495,38.9,-23.46,0.3,4,1.43
NGC6764,287.0681,50.93309,False,1,False,2416,37.4,-23.54,0.29,3.6,1.55
NGC7137,327.0543,22.15958,False,0,False,1686,26.3,-23.29,0.59,5,1.44
NGC7177,330.1719,17.73812,False,1,False,1150,20.5,-23.41,0.32,2.5,1.35
NGC7217,331.9682,31.35925,False,0,False,952,16.9,-24.34,0.38,2.5,1.69
NGC7241,333.9578,19.23236,False,0,False,1447,22.8,-22.83,0.23,4,1.38
NGC7328,339.3721,10.53158,False,0,False,2825,40.9,-23.45,0.36,2.1,1.35
NGC7339,339.4454,23.78667,False,1,False,1313,17,-22.6,0.16,4,1.35
NGC7347,339.984,11.02756,False,0,False,2239,32.9,-21.88,0.25,4.6,1.18
NGC7416,343.9238,-5.495346,False,0,False,2859,40.1,-23.79,0.19,3,1.4
NGC7463,345.4666,15.98185,False,0,False,2341,34.5,-22.47,0.32,3,1.17
NGC7479,346.2361,12.32288,False,1,False,2381,31.1,-24.3,0.49,4.4,1.68
NGC7497,347.2643,18.17718,False,0,False,1708,26,-23,0.77,6.2,1.69
NGC7625,350.1255,17.2256,False,0,False,1633,24.8,-23.11,0.11,1,1.25
NGC7678,352.1162,22.42118,False,1,False,3489,35.3,-23.62,0.21,4.9,1.56
NGC7694,353.3157,-2.702838,False,0,False,2281,32.2,-21.77,0.2,10,1.34
NGC7714,354.0587,2.15502,False,0,False,2798,39.6,-23.25,0.23,3.1,1.08
NGC7716,354.1311,0.297313,False,0,False,2579,36.5,-23.51,0.15,3,1.37
NGC7742,356.0655,10.7671,False,0,False,1663,24.7,-23.35,0.24,2.8,1.25
NGC7743,356.088,9.934042,True,2,False,1710,20.1,-23.13,0.3,-0.9,1.59
NGC7814,0.81228,16.14523,True,4,False,1050,12.8,-23.47,0.19,2,1.61
PGC005363,21.63864,39.88103,False,0,False,2610,39.1,-21.81,0.25,0,1.04
PGC009485,37.3819,-3.212962,False,0,False,2435,33.6,-22.42,0.12,0,1.23
PGC069448,340.063,-2.424036,False,0,False,2970,42,-22.36,0.23,3.9,1.43
PGC2800919,323.975,-3.148177,False,0,False,2873,40.9,-21.9,0.18,0,0.78
UGC00260,6.762131,11.58381,False,0,False,2131,30.9,-22.12,0.33,5.8,1.19
UGC01551,30.90623,24.07553,False,0,False,2671,38.8,-21.7,0.4,6.1,1.51
UGC03053,67.04031,21.65532,False,0,False,2414,34.8,-23,1.95,5.9,1.26
UGC03258,77.67921,0.408305,False,0,False,2821,38.9,-22.61,0.29,2,1.32
UGC03685,107.2748,61.59552,False,0,False,1797,29.2,-22.88,0.25,3,1.55
UGC04621,132.5492,35.07643,False,0,False,2306,35,-22.31,0.17,1,1.16
UGC04824,137.8899,51.2543,False,0,False,2184,34.3,-21.52,0.08,6.4,1.26
UGC04906,139.4164,52.99276,False,0,False,2304,36,-23.38,0.06,1.1,1.24
UGC05376,150.1128,3.374309,False,0,False,2054,30.2,-22.63,0.11,7.8,1.01
UGC05403,150.6482,19.17707,False,0,False,2082,31.7,-22.18,0.14,0,0.97
UGC05720,158.1331,54.40098,False,0,False,1430,24.8,-21.55,0.05,9.9,1.05
UGC06402,170.8297,-0.92244,False,0,False,2608,37.8,-21.67,0.19,8,1.02
UGC06517,173.01,36.69812,False,0,False,2491,38.5,-21.82,0.12,3.7,1.28
UGC06879,178.6045,-2.319723,False,0,False,2388,35.1,-21.82,0.11,7.2,1.38
UGC07179,182.7419,63.91457,False,0,False,2630,41.3,-23.33,0.08,0,1.19
UGC08067,194.3007,-1.706808,False,0,False,2833,41.2,-22.66,0.08,3.6,1.28
UGC08658,205.1663,54.333,False,0,False,2029,33.3,-21.9,0.07,5,1.62
UGC08693,206.1184,35.1923,False,0,False,2438,38.2,-21.55,0.05,4.4,1.18
UGC08756,207.6497,42.54144,False,0,False,1354,24.4,-21.6,0.06,1.3,1.03
UGC09665,225.3852,48.3199,False,0,False,2558,40.3,-22.77,0.1,4,1.11
UGC09703,226.3595,46.56531,False,0,False,2471,39.1,-21.89,0.09,0,1.07
UGC09741,227.1396,52.29615,False,0,False,2498,39.6,-21.65,0.1,3,1.16
UGC09977,235.4981,0.713232,False,0,False,1915,29.2,-21.77,0.49,5.3,1.35
UGC10043,237.1716,21.86939,False,0,False,2161,33.8,-22.26,0.25,4.1,1.09
UGC10288,243.6033,-0.20754,False,0,False,2044,30.8,-23.1,0.58,5.3,1.5
